key,value
scenario,S1
target,30
written_at,2026-09-23T21:19:30
tel_sent,156
tel_period_min_us,99928
tel_period_avg_us,99999
tel_period_max_us,100002
work_avg_us,0
work_max_us,0
cni_accepted,30
cni_debounce_rej,12
cni_btnq_drop,0
cni_rec_ovf,0
cni_rec_mismatch,0
cni_unarmed_rej,41
cni_events,30
cni_idle_press,0
cni_rx_overflow,0
cni_rx_err,0
cni_cmd_busy,0
cnt_txq_drop_tel,0
cnt_txq_drop_btn,0
cnt_rec_mismatch,0
cnt_uart_err,0
cnt_uart_timeout,0
cnt_rec_mismatch_tx,0
cnt_fmt_err_tel,0
cnt_fmt_err_btn,0
cnt_txq_hwm,2
cnt_cmd_err,0
