scenario,event_id,t0_us,t1_us,t2_us,t3_us,t4_us,status
S3,6,486473566,486473578,486473594,486478830,486484382,ok
S3,7,486804493,486804505,486804522,486808830,486814382,ok
S3,8,487217993,487218005,487218021,487218833,487224385,ok
S3,9,487616377,487616389,487616405,487618826,487624378,ok
S3,10,487991558,487991569,487991586,487991695,487997252,ok
