scenario,event_id,t0_us,t1_us,t2_us,t3_us,t4_us,status
S5,5,1044954769,1044958640,1044958656,1044968643,1044974201,ok
S5,6,1045728965,1045728977,1045728993,1045738632,1045744182,ok
S5,7,1046744673,1046748635,1046748651,1046758643,1046764197,ok
S5,8,1047492943,1047492956,1047492973,1047498633,1047504183,ok
S5,9,1048256432,1048258635,1048258652,1048268643,1048274199,ok
