scenario,n_total,n_ok,n_missing,R_min_ms,R_avg_ms,R_max_ms,n_over_20ms,t1_t0_avg_us,t2_t1_avg_us,t3_t2_avg_us,t4_t3_avg_us,btnq_drop,tx_drop,tx_error,timeout,tel_sent,tel_period_avg_us,tel_period_min_us,tel_period_max_us,work_avg_us,txq_hwm,debounce_rej,unarmed_rej
S0,30,30,0,5.613,5.618,5.622,0,12.0,16.8,34.4,5554.9,0,0,0,0,0,0,0,0,0,1,1,72
S1,30,30,0,5.613,5.623,5.798,0,12.0,16.6,40.6,5553.9,0,0,0,0,724,99999,99928,100001,0,2,0,63
S2,30,30,0,5.614,6.988,11.193,0,12.2,16.5,1405.9,5553.8,0,0,0,0,3530,19999,19926,20002,0,2,1,57
S3,30,30,0,5.613,7.519,11.030,0,12.0,16.6,1938.1,5552.5,0,0,0,0,8727,9999,9926,10002,0,2,2,62
S4,30,30,0,5.618,8.255,12.467,0,88.5,16.8,2596.0,5553.2,0,0,0,0,8578,9999,9927,10001,2001,2,0,61
S5,30,24,6,11.417,115.025,164.710,23,886.2,227.0,108358.1,5553.8,0,6,0,0,8260,9999,9926,10001,5008,16,0,34
